id,code,site_number,fac_type,fac_use,faa_region,faa_dist,city,county,state,full_name,own_type,longitude,latitude,elevation,aero_cht,cbd_dist,cbd_dir,act_date,cert,fed_agree,cust_intl,c_ldg_rts,joint_use,mil_rts,cntl_twr,major
5261,7IL9,04601.112*A,AIRPORT,PR,AGL,CHI,EARLVILLE,LA SALLE,IL,AMBLER - CADY,PR,-88.990000,41.540000,700,CHICAGO,5,SW,10/1992,,,,,,,N,N
5262,C94,04601.114*A,AIRPORT,PU,AGL,CHI,EARLVILLE,LA SALLE,IL,EARLVILLE,PR,-88.940000,41.560000,690,CHICAGO,2,SW,,,,,,,,N,N
5263,06IL,04601.115*A,AIRPORT,PR,AGL,CHI,EARLVILLE,ADAMS,IL,HUMM,PR,-88.860000,41.590000,708,CHICAGO,3,E,05/1999,,,,,,,N,N
5264,IL39,04602.3*U,ULTRALIGHT,PR,AGL,CHI,EAST CARONDELET,ST CLAIR,IL,REIMLER INTERNATIONAL INC,PR,-90.230000,38.510000,400,ST LOUIS,2,SW,04/1988,,,,,,,N,N
5265,C95,04603.1*U,ULTRALIGHT,PU,AGL,CHI,EAST MOLINE,ROCK ISLAND,IL,MC NEAL'S FIELD,PR,-90.370000,41.510000,575,CHICAGO,3,E,,,,N,N,N,N,N,N
5266,H67,04608.*A,AIRPORT,PR,AGL,CHI,EAST ST LOUIS/GRANITE CITY,MADISON,IL,NICHOLS RLA,PR,-90.060000,38.690000,425,ST LOUIS,6,E,,,,,,,,N,N
5267,IS11,04608.1*H,HELIPORT,PR,AGL,CHI,EAST ST LOUIS,ST CLAIR,IL,ST MARY'S HOSPITAL,PR,-90.150000,38.620000,460,ST LOUIS,0,N,02/1999,,,,,,,N,N
5268,1H2,04614.*A,AIRPORT,PU,AGL,CHI,EFFINGHAM,EFFINGHAM,IL,EFFINGHAM COUNTY MEMORIAL,PU,-88.530000,39.070000,587,ST LOUIS,3,S,,,NGY,N,N,N,Y,N,N
5269,H78,04614.04*H,HELIPORT,PR,AGL,CHI,EFFINGHAM,EFFINGHAM,IL,ST ANTHONY MEMORIAL HOSPITAL,PR,-88.550000,39.120000,593,ST LOUIS,0,N,,,,,,,,N,N
5270,06LL,04615.*H,HELIPORT,PR,AGL,CHI,ELBURN,ADAMS,IL,HAMMERSMITH,PR,-88.490000,41.870000,812,CHICAGO,2,SW,05/1999,,,,,,,N,N
5271,H81,04615.351*A,AIRPORT,PR,AGL,CHI,ELDRED,GREENE,IL,THE ADWELL CORPORATION,PR,-90.600000,39.340000,425,ST LOUIS,4,NW,,,,,,,,N,N
5272,2IL8,04618.01*H,HELIPORT,PR,AGL,CHI,ELGIN,KANE,IL,IL.DEPT OF TRANSPORTATION,PU,-88.280000,42.020000,730,CHICAGO,0,S,,,,,,,,N,N
5273,IS32,04618.02*H,HELIPORT,PR,AGL,CHI,ELGIN,KANE,IL,AMERICAN ANTENNA,PR,-88.300000,42.070000,822,CHICAGO,2,NW,,,,,,,,N,N
5274,IS35,04618.03*H,HELIPORT,PR,AGL,CHI,ELGIN,KANE,IL,CAPSONIC GROUP,PR,-88.300000,42.070000,825,CHICAGO,2,SW,,,,,,,,N,N
5275,IL33,04618.04*H,HELIPORT,PR,AGL,CHI,ELGIN,KANE,IL,SHERMAN HOSPITAL,PR,-88.280000,42.050000,780,CHICAGO,2,SW,08/1988,,,,,,,N,N
5276,IS20,04618.05*H,HELIPORT,PR,AGL,CHI,ELGIN,KANE,IL,ST JOSEPH HOSPITAL,PR,-88.320000,42.030000,846,CHICAGO,3,W,05/1989,,,,,,,N,N
5277,1IS9,04618.2*C,SEAPLANE BASE,PR,AGL,CHI,ELGIN,KANE,IL,ROD'S FOX VALLEY,PR,-88.280000,42.060000,750,CHICAGO,2,N,06/1983,,,,,,,N,N
5278,23IL,04618.5*H,HELIPORT,PR,AGL,CHI,ELK GROVE VILLAGE,COOK,IL,ALEXIAN BROTHERS MEDICAL CENTER,PR,-88.010000,42.000000,707,CHICAGO,2,W,08/1991,,,,,,,N,N
5279,3IL0,04620.*H,HELIPORT,PR,AGL,CHI,ELMHURST,DU PAGE,IL,PATTEN INDUSTRIES,PR,-87.960000,41.920000,695,CHICAGO,2,W,,,,,,,,N,N
5280,7IS6,04620.01*H,HELIPORT,PR,AGL,CHI,ELMHURST,DU PAGE,IL,ELMHURST MEML HOSPITAL,PR,-87.930000,41.910000,705,CHICAGO,0,N,08/1999,,,,,,,N,N
5281,2IS3,04620.2*A,AIRPORT,PR,AGL,CHI,ELMIRA,STARK,IL,JACKSON FIELD,PR,-89.800000,41.170000,760,CHICAGO,1,SE,12/1983,,,,,,,N,N
5282,1IL0,04621.*A,AIRPORT,PR,AGL,CHI,EL PASO,WOODFORD,IL,BARNSTORM FIELD,PR,-89.000000,40.770000,731,CHICAGO,3,N,03/1999,,,,,,,N,N
5283,3IL2,04622.6*A,AIRPORT,PR,AGL,CHI,ELWOOD,WILL,IL,SWEEDLER,PR,-88.040000,41.410000,669,CHICAGO,3,NE,,,,,,,,N,N
5284,LL13,04624.6*A,AIRPORT,PR,AGL,CHI,ENFIELD,WHITE,IL,STONEY REAL ESTATE,PR,-88.300000,38.040000,460,ST LOUIS,4,SE,05/1999,,,,,,,N,N
5285,3H5,04625.21*U,ULTRALIGHT,PU,AGL,CHI,ERIE,WHITESIDE,IL,ERIE AIR PARK,PR,-90.070000,41.670000,600,CHICAGO,1,N,,,,,,,,N,N
5286,IS15,04625.72*A,AIRPORT,PR,AGL,CHI,ESMOND,DE KALB,IL,VODDEN,PR,-88.900000,42.030000,850,CHICAGO,2,E,,,,,,,,N,N
5287,II31,04625.8*U,ULTRALIGHT,PR,AGL,DET,ESSEX,KANKAKEE,IL,JURASSIC LANDINGS,PR,-88.160000,41.180000,585,CHICAGO,1,ENE,11/2000,,,,,,,N,N
5288,IS24,04625.82*A,AIRPORT,PR,AGL,CHI,ESSEX,KANKAKEE,IL,RASH'S ACRES,PR,-88.200000,41.200000,580,CHICAGO,2,NW,05/1989,,,,,,,N,N
5289,3IL8,04628.85*H,HELIPORT,PR,AGL,CHI,EVANSTON,COOK,IL,EVANSTON HOSPITAL-GOLF COURSE SITE,PU,-87.680000,42.060000,610,CHICAGO,0,N,,,,,,,,N,N
5290,9IS6,04628.86*H,HELIPORT,PR,AGL,CHI,EVANSTON,COOK,IL,EVANSTON WATER PLANT,PU,-87.670000,42.060000,610,CHICAGO,0,N,09/1986,,,,,,,N,N
5291,5IS3,04631.*A,AIRPORT,PR,AGL,CHI,EVANSVILLE,RANDOLPH,IL,RIVERVEIW,PR,-89.970000,38.070000,490,ST LOUIS,2,SW,07/1984,,,,,,,N,N
5292,C99,04634.11*A,AIRPORT,PR,AGL,CHI,FAIRBURY,LIVINGSTON,IL,FICKLIN-AIRTECH,PR,-88.500000,40.760000,672,CHICAGO,2,N,,,,N,N,,,N,N
5293,29IS,04634.13*H,HELIPORT,PR,AGL,CHI,FAIRBURY,LIVINGSTON,IL,NORMAN RITTENHOUSE,PR,-88.510000,40.750000,640,CHICAGO,1,N,02/1987,,,,,,,N,N
5294,4IL2,04634.17*A,AIRPORT,PR,AGL,CHI,FAIRBURY,LIVINGSTON,IL,WAYNE ZILLER JR,PR,-88.540000,40.800000,661,CHICAGO,3,NW,,,,,,,,N,N
5295,FWC,04635.1*A,AIRPORT,PU,AGL,CHI,FAIRFIELD,WAYNE,IL,FAIRFIELD MUNI,PU,-88.410000,38.370000,436,ST LOUIS,2,W,,,NGY,N,N,N,Y,N,N
5296,57IS,04635.11*A,AIRPORT,PR,AGL,CHI,FAIRFIELD,WAYNE,IL,DOZIER,PR,-88.270000,38.310000,420,ST LOUIS,6,SE,01/1988,,,,,,,N,N
5297,5IS7,04638.*A,AIRPORT,PR,AGL,CHI,FAIRMOUNT,VERMILION,IL,CAST,PR,-87.780000,40.030000,670,CHICAGO,2,E,10/1984,,,,,,,N,N
5298,9LL4,04639.01*A,AIRPORT,PR,AGL,CHI,FARMER CITY,PIATT,IL,ROBERT A. ASHWORTH,PR,-88.600000,40.230000,722,CHICAGO,2,E,,,,,,,,N,N
5299,IS26,04639.02*A,AIRPORT,PR,AGL,CHI,FARMER CITY,PIATT,IL,NIKLAUS RLA,PR,-88.610000,40.180000,725,CHICAGO,4,SE,05/1989,,,,,,,N,N
5300,70IL,04640.*A,AIRPORT,PR,AGL,CHI,FARMERSVILLE,MONTGOMERY,IL,MURPHY FARMS,PR,-89.560000,39.420000,645,ST LOUIS,5,E,07/1998,,,,,,,N,N
5301,H82,04648.3*A,AIRPORT,PR,AGL,CHI,FILLMORE,MONTGOMERY,IL,O K FLYING CLUB INC,PR,-89.310000,39.190000,665,ST LOUIS,4,NW,,,,,,,,N,N
5302,3K2,04648.4*A,AIRPORT,PR,AGL,CHI,FINDLAY,SHELBY,IL,HOWELL,PR,-88.750000,39.540000,672,ST LOUIS,1,N,,,,,,,,N,N
5303,H83,04648.41*A,AIRPORT,PR,AGL,CHI,FINDLAY,SHELBY,IL,ENOCH,PR,-88.760000,39.520000,676,ST LOUIS,0,W,,,,,,,,N,N
5304,15IS,04648.8*A,AIRPORT,PR,AGL,CHI,FISHER,CHAMPAIGN,IL,FURTNEY,PR,-88.360000,40.290000,730,CHICAGO,2,SW,10/1986,,,,,,,N,N
5305,62IS,04649.*A,AIRPORT,PR,AGL,CHI,FITHIAN,VERMILION,IL,WILSON,PR,-87.900000,40.080000,670,CHICAGO,2,SW,03/1988,,,,,,,N,N
5306,FOA,04650.1*A,AIRPORT,PU,AGL,CHI,FLORA,CLAY,IL,FLORA MUNI,PU,-88.450000,38.660000,472,ST LOUIS,2,E,,,NGY,N,N,N,Y,N,N
5307,9IL9,04651.*A,AIRPORT,PR,AGL,CHI,FOREST CITY,MASON,IL,KREILING'S,PR,-89.780000,40.350000,502,CHICAGO,3,SE,02/1992,,,,,,,N,N
5308,4IL9,04652.11*A,AIRPORT,PR,AGL,CHI,FORREST,LIVINGSTON,IL,FOSDICK,PR,-88.380000,40.770000,720,CHICAGO,3,NE,,,,,,,,N,N
5309,IS03,04654.4*C,SEAPLANE BASE,PR,AGL,CHI,FOX LAKE,LAKE,IL,FOX LAKE,PR,-88.150000,42.410000,737,CHICAGO,2,NE,,,,,,,,N,N
5310,64IS,04654.41*H,HELIPORT,PR,AGL,CHI,FOX LAKE,LAKE,IL,PRECISION CHROME,PR,-88.180000,42.380000,745,CHICAGO,1,SE,03/1988,,,,,,,N,N
5311,IL44,04654.42*H,HELIPORT,PR,AGL,CHI,FOX LAKE,LAKE,IL,ARROW,PR,-88.180000,42.400000,738,CHICAGO,0,N,06/1988,,,,,,,N,N
5312,C18,04655.4*A,AIRPORT,PU,AGL,CHI,FRANKFORT,WILL,IL,FRANKFORT,PR,-87.840000,41.470000,778,CHICAGO,1,SE,,,N,N,N,N,N,N,N
5313,15IL,04656.*A,AIRPORT,PR,AGL,CHI,FRANKLIN GROVE,LEE,IL,GITTLESON FARMS,PR,-89.270000,41.790000,836,CHICAGO,3,SE,08/1990,,,,,,,N,N
5314,IS25,04656.2*H,HELIPORT,PR,AGL,CHI,FRANKLIN PARK,COOK,IL,B & L,PR,-87.850000,41.940000,649,CHICAGO,0,N,,,,,,,,N,N
5315,0IS1,04656.3*H,HELIPORT,PR,AGL,CHI,FRANKLIN PARK,COOK,IL,MATSUSHITA ELECTRIC CORP OF AMERICA,PR,-87.860000,41.920000,640,CHICAGO,0,E,04/1982,,,,,,,N,N
5316,FEP,04660.*A,AIRPORT,PU,AGL,CHI,FREEPORT,STEPHENSON,IL,ALBERTUS,PU,-89.580000,42.240000,859,CHICAGO,3,SE,,,NGY,N,N,N,Y,N,N
5317,50IS,04660.01*H,HELIPORT,PR,AGL,CHI,FREEPORT,STEPHENSON,IL,MEMORIAL,PR,-89.630000,42.290000,870,CHICAGO,0,W,12/1987,,,,,,,N,N
5318,C86,04660.02*A,AIRPORT,PU,AGL,CHI,FREEPORT,STEPHENSON,IL,FREEPORT/DORNINK,PR,-89.560000,42.370000,949,CHICAGO,6,NE,,,,N,N,N,N,N,N
5319,C50,04661.1*A,AIRPORT,PR,AGL,CHI,FREEPORT,STEPHENSON,IL,FRANZMEIR FIELD,PR,-89.550000,42.270000,840,CHICAGO,3,E,,,,,,,,N,N
5320,6IL1,04663.*H,HELIPORT,PR,AGL,CHI,GALATIA,SALINE,IL,KERR-MCGEE COAL CORPORATION,PR,-88.580000,37.830000,439,ST LOUIS,3,SE,05/1991,,,,,,,N,N
5321,77LL,04664.11*A,AIRPORT,PR,AGL,CHI,GALENA,JO DAVIESS,IL,COURSEN'S LANDING,PR,-90.500000,42.420000,770,CHICAGO,3,W,,,,,,,,N,N
5322,22IL,04664.12*A,AIRPORT,PR,AGL,CHI,GALENA,JO DAVIESS,IL,HELLER,PR,-90.400000,42.410000,820,CHICAGO,2,E,07/1991,,,,,,,N,N
5323,24IS,04664.13*H,HELIPORT,PR,AGL,CHI,GALENA,JO DAVIESS,IL,STAUSS HOSPITAL - GALENA,PR,-90.430000,42.420000,780,CHICAGO,1,NW,05/1999,,,,,,,N,N
5324,GBG,04667.1*A,AIRPORT,PU,AGL,CHI,GALESBURG,KNOX,IL,GALESBURG MUNI,PU,-90.430000,40.930000,764,CHICAGO,3,SW,,,NGY,N,N,N,Y,N,N
5325,5IL3,04667.12*H,HELIPORT,PR,AGL,CHI,GALESBURG,KNOX,IL,GALESBURG COTTAGE HOSPITAL,PR,-90.360000,40.950000,760,CHICAGO,0,N,,,,,,,,N,N
5326,3G8,04672.*A,AIRPORT,PU,AGL,CHI,GENESEO,HENRY,IL,GEN-AIRPARK,PR,-90.110000,41.430000,645,CHICAGO,2,SE,,,,,,,,N,N
5327,5IL6,04672.02*A,AIRPORT,PR,AGL,CHI,GENESEO,HENRY,IL,DEWEY E GREENE,PR,-90.170000,41.430000,710,CHICAGO,1,SW,,,,,,,,N,N
5328,9IS7,04672.04*H,HELIPORT,PR,AGL,CHI,GENESEO,HENRY,IL,BLACK HAWK,PR,-90.160000,41.450000,630,CHICAGO,0,W,09/1986,,,,,,,N,N
5329,24IL,04672.05*H,HELIPORT,PR,AGL,CHI,GENESEO,HENRY,IL,CITY OF GENESEO,PU,-90.150000,41.470000,640,CHICAGO,2,N,,,,,,,,N,N
5330,76IL,04672.8*H,HELIPORT,PR,AGL,CHI,GENEVA,KANE,IL,DELNOR COMMUNITY HOSPITAL,PR,-88.340000,41.880000,770,CHICAGO,2,W,07/1998,,,,,,,N,N
5331,30IS,04674.*A,AIRPORT,PR,AGL,CHI,GENOA,DE KALB,IL,AERO LAKE ESTATES,PR,-88.620000,42.070000,875,CHICAGO,3,SE,02/1987,,,,,,,N,N
5332,5IL9,04674.1*A,AIRPORT,PR,AGL,CHI,GENOA,DE KALB,IL,RICHARD C. WATSON,PR,-88.690000,42.080000,870,CHICAGO,1,S,,,,,,,,N,N
5333,6IL0,04674.11*A,AIRPORT,PR,AGL,CHI,GENOA,DE KALB,IL,RAMME,PR,-88.690000,42.130000,850,CHICAGO,2,N,,,,,,,,N,N
5334,6IL3,04676.01*A,AIRPORT,PR,AGL,CHI,GERMAN VALLEY,OGLE,IL,RUMMEL RLA,PR,-89.500000,42.160000,850,CHICAGO,3,SW,,,,,,,,N,N
5335,9IS8,04678.52*H,HELIPORT,PR,AGL,CHI,GIBSON CITY,FORD,IL,GIBSON COMMUNITY HOSPITAL,PR,-88.360000,40.470000,782,CHICAGO,0,N,09/1986,,,,,,,N,N
5336,3IS9,04678.522*A,AIRPORT,PR,AGL,CHI,GIBSON CITY,FORD,IL,WRIGHT,PR,-88.400000,40.440000,735,CHICAGO,2,SW,,,,,,,,N,N
5337,C34,04678.53*A,AIRPORT,PU,AGL,CHI,GIBSON CITY,FORD,IL,SCHERTZ FIELD,PR,-88.260000,40.480000,758,CHICAGO,5,NE,,,N,N,N,N,,N,N
5338,IL45,04678.6*A,AIRPORT,PR,AGL,CHI,GIFFORD,CHAMPAIGN,IL,BUSBOOM,PR,-88.010000,40.310000,780,CHICAGO,0,NE,04/1988,,,,,,,N,N
5339,7IS5,04678.7*A,AIRPORT,PR,AGL,CHI,GILBERTS,KANE,IL,KOPPIE,PR,-88.370000,42.120000,890,CHICAGO,1,N,11/1985,,,,,,,N,N
5340,6IL6,04678.71*A,AIRPORT,PR,AGL,CHI,GILBERTS,KANE,IL,REID RLA,PR,-88.400000,42.110000,920,CHICAGO,3,SE,,,,,,,,N,N
5341,IS92,04678.72*H,HELIPORT,PR,AGL,CHI,GILBERTS,KANE,IL,OLIVERS,PR,-88.360000,42.100000,895,CHICAGO,0,SE,04/1991,,,,,,,N,N
5342,H91,04679.1*A,AIRPORT,PR,AGL,CHI,GILLESPIE,MACOUPIN,IL,LINDELL LOVELESS,PR,-89.820000,39.180000,657,ST LOUIS,3,N,,,,,,,,N,N
5343,IS09,04688.2*H,HELIPORT,PR,AGL,CHI,GLENDALE HEIGHTS,DU PAGE,IL,GLENOAKS MEDICAL CENTER,PR,-88.050000,41.910000,734,CHICAGO,1,W,03/1993,,,,,,,N,N
5344,0IS2,04693.02*H,HELIPORT,PR,AGL,CHI,GLENVIEW,COOK,IL,EVANSTON/GLENBROOK,PR,-87.850000,42.090000,678,CHICAGO,2,W,04/1982,,,,,,,N,N
5345,48IL,04693.69*A,AIRPORT,PR,AGL,CHI,GODFREY,MADISON,IL,LAKE WEST WIND,PR,-90.240000,38.830000,601,ST LOUIS,3,NW,,,,,,,,N,N
5346,0H2,04693.7*A,AIRPORT,PR,AGL,CHI,GODFREY,MADISON,IL,HAMMET,PR,-90.160000,38.950000,590,ST LOUIS,1,E,,,,,,,,N,N
5347,IL49,04693.9*H,HELIPORT,PR,AGL,CHI,GODLEY,WILL,IL,BRAIDWOOD NPS,PR,-88.230000,41.240000,602,CHICAGO,0,N,04/1988,,,,,,,N,N
5348,16IS,04694.6*A,AIRPORT,PR,AGL,CHI,GOREVILLE,JOHNSON,IL,KELLUMS,PR,-89.000000,37.570000,720,ST LOUIS,3,NW,10/1986,,,,,,,N,N
5349,8IS3,04696.21*H,HELIPORT,PR,AGL,CHI,GRAFTON,JERSEY,IL,DEPT OF CORRECTIONS,PU,-90.460000,38.970000,450,ST LOUIS,0,W,03/1986,,,,,,,N,N
5350,6IL9,04697.*A,AIRPORT,PR,AGL,CHI,GRAND RIDGE,LA SALLE,IL,SKINNER,PR,-88.920000,41.230000,660,CHICAGO,4,W,,,,,,,,N,N
5351,41IS,04697.01*A,AIRPORT,PR,AGL,CHI,GRAND RIDGE,LA SALLE,IL,REES FIELD,PR,-88.800000,41.200000,675,CHICAGO,3,SE,,,,,,,,N,N
5352,I03,04697.4*H,HELIPORT,PU,AGL,CHI,GRAND TOWER,JACKSON,IL,GRAND TOWER,PU,-89.500000,37.630000,370,ST LOUIS,0,N,11/1993,,,,,,,N,N
5353,0H4,04697.8*A,AIRPORT,PR,AGL,CHI,GRANDVIEW,EDGAR,IL,GLATTHAAR,PR,-87.800000,39.520000,765,ST LOUIS,2,SE,,,,,,,,N,N
5354,7IL0,04699.*A,AIRPORT,PR,AGL,CHI,GRANT PARK,KANKAKEE,IL,MUSSMAN,PR,-87.570000,41.270000,705,CHICAGO,3,NE,,,,,,,,N,N
5355,IL61,04699.3*H,HELIPORT,PR,AGL,CHI,GRANTSBURG,JOHNSON,IL,VIENNA CORRECTIONAL CENTER,PU,-88.770000,37.390000,510,ST LOUIS,2,E,04/1988,,,,,,,N,N
5356,7IL1,04699.5*A,AIRPORT,PR,AGL,CHI,GRANVILLE,PUTNAM,IL,MAULFAIR,PR,-89.270000,41.250000,718,CHICAGO,2,SW,,,,,,,,N,N
5357,C81,04703.1*A,AIRPORT,PU,AGL,CHI,GRAYSLAKE,LAKE,IL,CAMPBELL,PR,-88.070000,42.320000,788,CHICAGO,2,SW,,,N,N,N,N,N,N,N
5358,7IL2,04703.2*A,AIRPORT,PR,AGL,CHI,GRAYS LAKE,LAKE,IL,O JOHN CLARK RLA,PR,-87.990000,42.360000,790,CHICAGO,3,NE,,,,,,,,N,N
5359,IS82,04706.03*A,AIRPORT,PR,AGL,CHI,GREENFIELD,GREENE,IL,ARRAS RLA,PR,-90.170000,39.330000,590,ST LOUIS,2,SW,05/1999,,,,,,,N,N
5360,LL20,04706.04*A,AIRPORT,PR,AGL,CHI,GREENFIELD,GREENE,IL,SMITH RLA,PR,-90.270000,39.310000,582,ST LOUIS,4,SW,05/1999,,,,,,,N,N
5361,7IL3,04712.8*A,AIRPORT,PR,AGL,CHI,GREENVALLEY,TAZEWELL,IL,LUTZ RLA,PR,-89.600000,40.420000,545,CHICAGO,2,NE,,,,,,,,N,N
5362,GRE,04713.1*A,AIRPORT,PU,AGL,CHI,GREENVILLE,BOND,IL,GREENVILLE,PU,-89.370000,38.830000,541,ST LOUIS,3,S,,,NGY,N,N,N,Y,N,N
5363,0H9,04713.12*H,HELIPORT,PR,AGL,CHI,GREENVILLE,BOND,IL,EDW A UTLAUT MEML,PR,-89.400000,38.900000,585,ST LOUIS,3,S,,,,,,,,N,N
5364,10C,04715.*A,AIRPORT,PU,AGL,CHI,GREENWOOD/WONDER LAKE,MC HENRY,IL,GALT FIELD,PR,-88.370000,42.400000,875,CHICAGO,1,N,,,N,N,N,N,N,N,N
5365,IS64,04716.5*A,AIRPORT,PR,AGL,CHI,GRIDLEY,MC LEAN,IL,KUNTZ FIELD,PR,-88.860000,40.720000,735,CHICAGO,2,SE,05/1981,,,,,,,N,N
5366,51IS,04717.*A,AIRPORT,PR,AGL,CHI,GRIGGSVILLE,PIKE,IL,CURRY,PR,-90.700000,39.650000,620,ST LOUIS,4,SE,12/1987,,,,,,,N,N
5367,IL90,04718.91*H,HELIPORT,PR,AGL,CHI,GURNEE,LAKE,IL,NORDIC,PR,-87.880000,42.350000,700,CHICAGO,1,SE,09/1996,,,,,,,N,N
5368,7IL6,04720.1*A,AIRPORT,PR,AGL,CHI,HAMPSHIRE,KANE,IL,DR JOSEPH W ESSER,PR,-88.500000,42.130000,979,CHICAGO,3,NE,,,,,,,,N,N
5369,C38,04720.11*A,AIRPORT,PR,AGL,CHI,HAMPSHIRE,KANE,IL,CASA DE AERO PARK,PR,-88.550000,42.140000,860,CHICAGO,3,NW,,,,,,,,N,N
5370,7IL7,04720.12*A,AIRPORT,PR,AGL,CHI,HAMPSHIRE,KANE,IL,EDWARD GETZELMAN,PR,-88.530000,42.120000,870,CHICAGO,2,N,,,,,,,,N,N
5371,3IS4,04720.3*A,AIRPORT,PR,AGL,CHI,HANOVER,JO DAVIESS,IL,MERKLE ENGINEERS,PR,-90.340000,42.280000,970,CHICAGO,3,W,12/1983,,,,,,,N,N
5372,2IL6,04720.4*A,AIRPORT,PR,AGL,CHI,HARDIN,CALHOUN,IL,LOW AND SLOW,PR,-90.620000,39.130000,455,ST LOUIS,3,W,02/1998,,,,,,,N,N
5373,7IL8,04721.*A,AIRPORT,PR,AGL,CHI,HARDING,LA SALLE,IL,CODY PORT RLA,PR,-88.830000,41.510000,668,CHICAGO,1,E,,,,,,,,N,N
5374,4IS4,04721.99*H,HELIPORT,PR,AGL,CHI,HARRISBURG,SALINE,IL,HARRISBURG MEDICAL CENTER,PR,-88.520000,37.730000,397,ST LOUIS,0,N,06/1984,,,,,,,N,N
5375,HSB,04722.*A,AIRPORT,PU,AGL,CHI,HARRISBURG,SALINE,IL,HARRISBURG-RALEIGH,PU,-88.540000,37.810000,396,ST LOUIS,4,N,,,NGY,N,N,N,Y,N,N
5376,0C0,04727.*A,AIRPORT,PU,AGL,CHI,HARVARD,MC HENRY,IL,DACY,PR,-88.630000,42.400000,913,CHICAGO,1,SW,,,N,N,N,N,N,N,N
5377,57IL,04727.11*H,HELIPORT,PR,AGL,CHI,HARVARD,MC HENRY,IL,MOTOROLA CSG-HARVARD,PR,-88.600000,42.430000,1065,CHICAGO,2,NE,07/1998,,,,,,,N,N
5378,8IL0,04727.12*A,AIRPORT,PR,AGL,CHI,HARVARD,MC HENRY,IL,ADKINS RLA,PR,-88.630000,42.350000,853,CHICAGO,4,SW,,,,,,,,N,N
5379,8IL1,04727.13*A,AIRPORT,PR,AGL,CHI,HARVARD,MC HENRY,IL,TWIN GARDENS,PR,-88.650000,42.400000,900,CHICAGO,2,W,,,,,,,,N,N
5380,8IL2,04727.14*A,AIRPORT,PR,AGL,CHI,HARVARD,MC HENRY,IL,KIRKPATRICK,PR,-88.600000,42.480000,950,CHICAGO,3,N,,,,,,,,N,N
5381,8IL4,04727.2*H,HELIPORT,PR,AGL,CHI,HARVARD,MC HENRY,IL,HARVARD MEMORIAL HOSPITAL,PR,-88.600000,42.420000,980,CHICAGO,1,E,,,,,,,,N,N
5382,IL92,04730.*H,HELIPORT,PR,AGL,CHI,HARVEY,COOK,IL,INGALLS MEMORIAL HOSPITAL,PR,-87.660000,41.600000,608,CHICAGO,1,SW,11/1991,,,,,,,N,N
5383,IS17,04730.02*H,HELIPORT,PR,AGL,CHI,HARVEY,COOK,IL,HARVEY POLICE DEPARTMENT,PR,-87.670000,41.610000,605,CHICAGO,0,N,02/1999,,,,,,,N,N
5384,31IS,04736.01*H,HELIPORT,PR,AGL,CHI,HAVANA,MASON,IL,MASON DISTRICT HOSPITAL,PR,-90.050000,40.300000,471,CHICAGO,0,N,02/1987,,,,,,,N,N
5385,C51,04736.1*A,AIRPORT,PR,AGL,CHI,HAVANA,MASON,IL,LARRY BARRETT RLA,PR,-89.940000,40.290000,510,CHICAGO,6,NE,,,N,N,N,N,N,N,N
5386,9I0,04736.13*A,AIRPORT,PU,AGL,CHI,HAVANA,MASON,IL,HAVANA REGIONAL,PU,-90.020000,40.220000,499,CHICAGO,5,SE,03/1985,,NPY,,,,,N,N
5387,8IL8,04736.7*H,HELIPORT,PR,AGL,CHI,HAZEL CREST,COOK,IL,SOUTH SUBURBAN HOSPITAL,PR,-87.690000,41.560000,665,CHICAGO,0,N,,,,,,,,N,N
5388,4IS5,04738.4*A,AIRPORT,PR,AGL,CHI,HECKER,MONROE,IL,SMITH RLA,PR,-89.930000,38.250000,420,ST LOUIS,4,SE,06/1984,,,,,,,N,N
5389,8IL9,04739.3*C,SEAPLANE BASE,PR,AGL,CHI,HENNEPIN,PUTNAM,IL,LITTLE SISTER,PR,-89.350000,41.200000,450,CHICAGO,3,S,,,,,,,,N,N
5390,9IL0,04739.61*A,AIRPORT,PR,AGL,CHI,HENRY,MARSHALL,IL,VILLIGER RLA,PR,-89.380000,41.090000,500,CHICAGO,1,SW,,,,,,,,N,N
5391,5IL0,04740.1*H,HELIPORT,PR,AGL,CHI,HERRIN,WILLIAMSON,IL,HERRIN HOSPITAL,PR,-89.020000,37.800000,444,ST LOUIS,0,N,05/2000,,,,,,,N,N
5392,9IL3,04740.66*A,AIRPORT,PR,AGL,CHI,HEYWORTH,MC LEAN,IL,WM QUINTON RLA,PR,-89.020000,40.280000,715,CHICAGO,3,SW,,,,,,,,N,N
5393,9IS9,04740.68*A,AIRPORT,PR,AGL,CHI,HEYWORTH,MC LEAN,IL,LYTLEVILLE ORCHARD,PR,-88.950000,40.330000,785,CHICAGO,2,NE,09/1986,,,,,,,N,N
5394,9IL4,04740.71*A,AIRPORT,PR,AGL,CHI,HEYWORTH,MC LEAN,IL,HAMLOW RLA,PR,-88.920000,40.330000,760,CHICAGO,3,NE,,,,,,,,N,N
5395,H07,04744.*A,AIRPORT,PU,AGL,CHI,HIGHLAND,MADISON,IL,HIGHLAND-WINET,PR,-89.630000,38.770000,537,ST LOUIS,3,NE,,,N,N,N,N,N,N,N
5396,9IL5,04744.5*H,HELIPORT,PR,AGL,CHI,HIGHLAND PARK,LAKE,IL,CITY OF HIGHLAND PARK,PU,-87.820000,42.190000,640,CHICAGO,2,NW,,,,,,,,N,N
